id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,errors
7484142,03-01-2025 09:20:00,55,3667,$24.08,Swipe Transaction,100,Holt,
7488305,04-01-2025 10:04:00,1443,3749,$52.53,Swipe Transaction,100,Rio Dell,
7495310,06-01-2025 06:45:00,1500,5180,$123.76,Swipe Transaction,100,Rio Dell,
7510665,10-01-2025 06:49:00,1077,214,$137.62,Swipe Transaction,100,Windsor,
7510763,10-01-2025 07:10:00,1077,214,$118.12,Swipe Transaction,100,Windsor,
7476203,01-01-2025 08:43:00,1432,4958,$243.56,Swipe Transaction,10001,Lake Hopatcong,
7507405,09-01-2025 08:55:00,1432,4929,$276.76,Swipe Transaction,10001,Lake Hopatcong,
7477693,01-01-2025 13:56:00,1712,3711,$306.25,Swipe Transaction,100012,Dallas,
7481932,02-01-2025 15:55:00,973,3833,$8.85,Swipe Transaction,100021,Como,
7478479,01-01-2025 17:20:00,208,4980,$53.40,Swipe Transaction,100034,Bothell,
7486928,03-01-2025 22:44:00,27,5025,$27.41,Swipe Transaction,100043,Carthage,
7510153,09-01-2025 22:45:00,27,5025,$26.84,Swipe Transaction,100043,Carthage,
7491333,05-01-2025 06:51:00,676,3910,$13.26,Swipe Transaction,100048,The Colony,
7499284,07-01-2025 06:29:00,676,3910,$3.22,Swipe Transaction,100048,The Colony,
7510281,10-01-2025 01:03:00,676,3910,$159.71,Swipe Transaction,100048,The Colony,
7477134,01-01-2025 12:05:00,1512,3689,$14.74,Swipe Transaction,10005,Indianapolis,
7500470,07-01-2025 10:54:00,1512,2582,$10.89,Swipe Transaction,10005,Indianapolis,
7479577,02-01-2025 04:02:00,234,62,$103.52,Swipe Transaction,100058,Mesquite,
7498210,06-01-2025 17:21:00,1581,5541,$109.86,Swipe Transaction,10009,Arnold,
7503711,08-01-2025 08:51:00,1571,45,$235.10,Swipe Transaction,100092,Hendersonville,
7507036,09-01-2025 07:19:00,16,2979,$68.69,Swipe Transaction,100161,Maywood,
7477085,01-01-2025 11:56:00,1635,115,$6.46,Swipe Transaction,100169,Jamaica,
7484221,03-01-2025 09:36:00,1635,115,$7.40,Swipe Transaction,100169,Jamaica,
7505899,08-01-2025 18:28:00,113,5041,$24.42,Swipe Transaction,100176,North Richland Hills,
7486759,03-01-2025 21:15:00,1595,2472,$49.90,Swipe Transaction,100185,Bronx,
7478956,01-01-2025 20:09:00,103,110,$19.80,Swipe Transaction,100212,Raleigh,
7484600,03-01-2025 11:00:00,884,2237,$36.10,Swipe Transaction,100221,Grand Rapids,
7488480,04-01-2025 10:42:00,884,4748,$41.75,Swipe Transaction,100221,Grand Rapids,
7507834,09-01-2025 10:42:00,884,4748,$42.01,Swipe Transaction,100221,Grand Rapids,
7483204,03-01-2025 05:35:00,1456,5935,$53.77,Swipe Transaction,100235,Louisville,
7487211,04-01-2025 05:46:00,1456,5935,$44.15,Swipe Transaction,100235,Louisville,
7487615,04-01-2025 07:34:00,1210,3403,$43.46,Swipe Transaction,100251,Milton,
7501783,07-01-2025 15:48:00,538,5441,$87.59,Swipe Transaction,100256,Vanceboro,
7501857,07-01-2025 16:02:00,538,5441,$129.29,Swipe Transaction,100256,Vanceboro,
7500329,07-01-2025 10:23:00,598,2040,$38.86,Swipe Transaction,100336,Gorham,
7478496,01-01-2025 17:26:00,990,5038,$45.64,Swipe Transaction,100340,Donaldsonville,
7491491,05-01-2025 07:28:00,1484,3209,$0.33,Swipe Transaction,100340,Tucson,
7498196,06-01-2025 17:16:00,990,5038,$53.64,Swipe Transaction,100340,Donaldsonville,
7501407,07-01-2025 14:21:00,1484,3209,$15.51,Swipe Transaction,100340,Tucson,
7505714,08-01-2025 17:16:00,990,5038,$43.69,Swipe Transaction,100340,Donaldsonville,
7509417,09-01-2025 17:01:00,990,5038,$49.93,Swipe Transaction,100340,Donaldsonville,
7490910,04-01-2025 23:42:00,1079,3813,$86.82,Swipe Transaction,10044,Rockville Centre,
7495647,06-01-2025 08:03:00,1079,2842,$18.04,Swipe Transaction,10044,Rockville Centre,
7480313,02-01-2025 09:20:00,1127,4605,$17.89,Swipe Transaction,10054,Naples,
7480465,02-01-2025 09:59:00,1858,2146,$29.87,Swipe Transaction,10054,Pacoima,
7508299,09-01-2025 12:29:00,1561,3386,$221.24,Swipe Transaction,10054,Fort Mill,
7509027,09-01-2025 15:30:00,1243,3884,$118.94,Swipe Transaction,10054,Harrisburg,
7494479,05-01-2025 19:40:00,575,3663,$32.62,Swipe Transaction,10059,Levittown,
7506081,08-01-2025 19:41:00,575,3663,$32.04,Swipe Transaction,10059,Levittown,
7486344,03-01-2025 18:05:00,1362,2145,$13.89,Swipe Transaction,10062,Burke,
7488612,04-01-2025 11:11:00,1362,2145,$170.16,Swipe Transaction,10062,Burke,
7506968,09-01-2025 06:59:00,1609,4090,$251.99,Swipe Transaction,10062,Burke,
7507458,09-01-2025 09:08:00,598,2040,$93.88,Swipe Transaction,10062,Gorham,
7508394,09-01-2025 12:56:00,598,2040,$40.64,Swipe Transaction,10062,Gorham,
7490819,04-01-2025 22:25:00,1063,2015,$63.83,Swipe Transaction,10063,Rochelle,
7479844,02-01-2025 07:11:00,1163,2459,$32.79,Swipe Transaction,10078,Dallas,
7479337,01-01-2025 22:35:00,1022,5148,$42.91,Swipe Transaction,10099,Monroe,
7494857,05-01-2025 22:47:00,1022,2504,$45.79,Swipe Transaction,10099,Monroe,
7510143,09-01-2025 22:39:00,1022,5148,$56.29,Swipe Transaction,10099,Monroe,
7493556,05-01-2025 14:51:00,1151,2983,$2.81,Swipe Transaction,10106,Princeton,
7497936,06-01-2025 16:09:00,1253,3841,$26.37,Swipe Transaction,10106,Beacon Falls,
7503456,08-01-2025 07:41:00,1253,2561,$118.75,Swipe Transaction,10106,Beacon Falls,
7505034,08-01-2025 14:32:00,1151,5006,$5.86,Swipe Transaction,10106,Princeton,
7505510,08-01-2025 16:23:00,1253,2561,$26.71,Swipe Transaction,10106,Beacon Falls,
7498410,06-01-2025 18:51:00,104,4205,$82.76,Swipe Transaction,10123,Grand Prairie,
7477074,01-01-2025 11:54:00,866,2110,$13.28,Swipe Transaction,10126,Pittsburgh,
7477263,01-01-2025 12:27:00,866,2110,$12.31,Swipe Transaction,10126,Pittsburgh,
7478492,01-01-2025 17:25:00,866,2110,$63.07,Swipe Transaction,10126,Pittsburgh,
7482250,02-01-2025 17:21:00,866,2110,$62.67,Swipe Transaction,10126,Pittsburgh,
7504531,08-01-2025 12:33:00,61,2622,$10.00,Swipe Transaction,10128,West Harrison,
7501299,07-01-2025 13:53:00,1564,4240,$1.69,Swipe Transaction,10136,Amarillo,
7479058,01-01-2025 20:46:00,157,969,$48.29,Swipe Transaction,10156,Perris,
