id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,errors
7475327,2025-01-01 00:01:00,1556,2972,$-77.00,Swipe Transaction,59935,Beulah,
7475328,2025-01-01 00:02:00,561,4575,$14.57,Swipe Transaction,67570,Bettendorf,
7475329,2025-01-01 00:02:00,1129,102,$80.00,Swipe Transaction,27092,Vista,
7475331,2025-01-01 00:05:00,430,2860,$200.00,Swipe Transaction,27092,Crown Point,
7475332,2025-01-01 00:06:00,848,3915,$46.41,Swipe Transaction,13051,Harwood,
7475333,2025-01-01 00:07:00,1807,165,$4.81,Swipe Transaction,20519,Bronx,
7475334,2025-01-01 00:09:00,1556,2972,$77.00,Swipe Transaction,59935,Beulah,
7475335,2025-01-01 00:14:00,1684,2140,$26.46,Online Transaction,39021,ONLINE,
7475328,2025-01-01 00:02:00,561,4575,,Swipe Transaction,67570,Bettendorf,Technical Glitch
7475336,2025-01-01 00:21:00,335,5131,$261.58,Online Transaction,50292,ONLINE,
7475337,2025-01-01 00:21:00,351,1112,$10.74,Swipe Transaction,3864,Flushing,
7475338,2025-01-01 00:23:00,554,3912,$3.51,Swipe Transaction,67570,Pearland,
7475339,2025-01-01 00:23:00,605,5061,$2.58,Swipe Transaction,75781,Brooklyn,
7475340,2025-01-01 00:26:00,1556,2972,$39.63,Swipe Transaction,59935,Beulah,
7475341,2025-01-01 00:27:00,1797,1127,$43.33,Swipe Transaction,33326,Kahului,
7475342,2025-01-01 00:30:00,114,3398,$49.42,Swipe Transaction,61195,North Hollywood,
7475343,2025-01-01 00:31:00,1634,2464,$1.09,Swipe Transaction,20519,San Benito,
7475344,2025-01-01 00:32:00,646,2093,$73.79,Swipe Transaction,1636,Erie,
7475345,2025-01-01 00:32:00,,,$,Swipe Transaction,27092,Vista,
7475345,2025-01-01 00:32:00,1129,5492,$100.00,Swipe Transaction,27092,Vista,
7475346,2025-01-01 00:34:00,394,4717,$26.04,Online Transaction,39021,ONLINE,
7475347,2025-01-01 00:36:00,114,3398,$-64.00,Swipe Transaction,61195,North Hollywood,
7475348,2025-01-01 00:36:00,1376,2182,$54.27,Swipe Transaction,88945,Cedar Park,
7475349,2025-01-01 00:37:00,1682,238,$20.74,Swipe Transaction,21586,Grand Forks,
7475350,2025-01-01 00:38:00,114,3398,$64.00,Swipe Transaction,61195,North Hollywood,
7475351,2025-01-01 00:38:00,121,5952,$57.54,Swipe Transaction,11901,Menasha,
7475353,2025-01-01 00:43:00,301,3742,$10.17,Online Transaction,39021,ONLINE,
7475354,2025-01-01 00:43:00,1755,4228,$12.01,Swipe Transaction,28666,Cordele,
7475356,,566,3439,$16.86,Online Transaction,16798,ONLINE,
7475356,2025-01-01 00:45:00,566,3439,$16.86,Online Transaction,16798,ONLINE,
7475356,2025-01-01 00:45:30,566,3439,$88,Online Transaction,16798,,
7475357,2025-01-01 00:46:00,379,3881,$4.64,Swipe Transaction,50783,Mobile,
7475358,2025-01-01 00:48:00,401,3004,$669.88,Swipe Transaction,68977,West Covina,
7475359,2025-01-01 00:48:00,1127,3869,$22.57,Online Transaction,39021,ONLINE,
7475360,2025-01-01 00:49:00,652,4293,$2.40,Swipe Transaction,74624,East Hartford,
7475361,2025-01-01 00:53:00,1963,3317,$40.35,Swipe Transaction,69972,Vacaville,
7475362,2025-01-01 00:56:00,1357,4488,$14.57,Swipe Transaction,78632,Tacoma,
7475363,2025-01-01 00:57:00,285,3442,$7.80,Swipe Transaction,81536,Watsonville,
7475363,2025-01-01 00:57:00,1201,16,$2.95,Online Transaction,61195,ONLINE,
7475363,2025-01-01 00:57:00,1201,16,$2.95,Swipe Transaction,61195,Woburn,
7475364,2025-01-01 00:57:00,1201,16,$2.95,Swipe Transaction,61195,Woburn,
7475365,2025-01-01 01:01:00,820,127,$270.22,Online Transaction,73186,ONLINE,
7475366,2025-01-01 01:03:00,1703,2969,$78.00,Swipe Transaction,43293,Grand Junction,
7475367,2025-01-01 01:06:00,1758,4686,$87.09,Online Transaction,17976,ONLINE,
7475368,2025-01-01 01:07:00,414,2815,$148.39,Swipe Transaction,5258,Morristown,
7475370,2025-01-01 01:07:00,1963,3364,$48.12,Swipe Transaction,88646,Vacaville,
7475371,2025-01-01 01:08:00,561,3764,$7.75,Swipe Transaction,86977,Burlington,
7475372,2025-01-01 01:11:00,566,5577,$14.66,Online Transaction,16798,ONLINE,
7475373,2025-01-01 01:11:00,1642,4281,$3.96,Swipe Transaction,44625,Manasquan,
7475329,2025-01-01 00:02:00,1129,102,$80.00,Swipe Transaction,27092,Vista,
7475374,2025-01-01 01:13:00,1684,94,$12.67,Online Transaction,39021,ONLINE,
7475376,2025-01-01 01:19:00,989,2511,$580.98,Swipe Transaction,73661,Thackerville,
7475377,2025-01-01 01:19:00,1519,2452,$10.34,Swipe Transaction,12399,Laurel,
7475378,2025-01-01 01:19:00,1575,2112,$17.14,Swipe Transaction,29232,Osprey,
